user_id,식료품,의류,가전제품,스포츠용품,교통,미용,의료,여행,문화,음식점,주류,통신,가정용품,도서,유류비,반려동물,유아용품,교육,현재 소득,현재 지출,저축,금융 자산,부채 금액,재무적 안정성,대출 상환능력,신용 점수,투자 수익률,부동산 보유량
1,2252,2548,5555,321,872,122,1992,454,89,928,2309,25,90,16,322,73,38,4526,43763,34805,27128,464,34353,6,77,530,17,10
2,4507,166,159,106,403,72,202,911,408,2976,1725,66,208,73,1618,89,112,2332,51078,59647,3900,88814,20514,3,42,723,-20,1
3,3446,1911,9997,110,106,356,1110,228,248,1496,2792,40,496,154,1298,43,136,1831,31275,40141,1110,64664,6357,1,84,713,31,7
4,4433,2984,3953,96,937,478,369,588,161,2700,2516,4,306,114,2616,87,40,3203,24891,53925,5381,9343,36130,0,71,520,-24,10
5,537,262,1142,486,67,408,2795,733,223,1080,1606,34,66,16,140,153,45,3754,42218,49628,19339,36235,7901,4,40,531,-5,0
6,137,288,2259,279,875,40,1758,173,274,93,2499,42,230,91,1657,31,75,2288,20119,42777,1995,14216,18252,8,25,397,-16,1
7,851,1024,2954,104,834,497,1820,210,319,1753,1494,40,482,156,1655,37,7,2801,42845,60875,7178,46441,17982,8,6,308,-22,8
8,2135,413,4447,281,7,444,1828,174,191,2241,1175,93,276,128,2395,22,181,2141,47080,18799,17297,63798,17900,5,95,522,-1,10
9,1324,321,9649,235,583,59,2022,133,312,308,2870,20,254,127,2326,123,69,1980,30548,21306,20824,18847,45004,1,11,778,-7,4
10,2792,2991,4447,471,192,339,557,886,1,33,357,87,427,95,584,100,114,4428,37683,45714,8468,70912,11646,10,59,399,30,3
11,625,1113,5152,10,788,396,873,677,444,2736,2666,19,472,21,0,176,168,2466,26874,57431,8372,16671,33487,0,69,370,-35,2
12,3663,1053,2202,498,909,240,2751,393,5,1289,2630,94,336,86,2245,12,35,2166,31576,15860,10989,88288,48256,0,77,779,15,8
13,572,1405,3778,160,130,205,1859,262,186,888,2369,22,516,36,1829,196,188,1525,23908,28555,21226,79626,44126,5,8,716,24,9
14,1950,840,4497,397,208,18,622,2,204,1542,2026,22,541,158,1210,69,11,1790,40892,47369,21546,75036,5299,3,66,684,-2,3
15,2229,2085,716,423,221,162,2284,23,312,1399,13,6,199,179,1411,163,100,1525,47691,27554,10064,72560,5453,0,55,406,-4,4
16,1814,1751,5269,140,341,416,157,82,401,2044,1581,12,362,13,1307,11,40,3883,55251,68739,23040,27058,28960,9,2,501,0,8
17,504,596,8578,258,755,336,1027,661,478,278,124,4,339,179,864,123,46,3529,59328,25232,12511,84082,8522,2,57,746,46,9
18,3485,150,7640,383,230,272,187,369,222,2387,1586,78,29,91,68,74,84,2735,44125,10740,25433,92975,13254,6,4,549,28,4
19,2968,612,9537,221,730,236,1067,175,182,981,2006,91,249,111,1837,54,147,2487,53955,32978,5149,35485,5397,4,97,420,27,5
20,2108,840,5506,143,204,63,1173,802,114,1904,1172,9,156,64,89,169,18,3296,27394,29391,8709,26734,40218,6,73,824,23,8
21,3716,2895,104,494,429,224,2351,621,264,1895,1507,4,260,119,1047,146,178,3092,56814,56034,27541,70313,15018,3,58,770,-46,8
22,4229,770,1633,143,650,465,882,403,475,2505,391,87,205,43,279,166,135,2794,59393,36655,6854,51852,31495,7,95,387,15,6
23,1289,2963,8399,105,701,57,2085,146,411,2133,549,1,506,125,864,70,119,4422,34895,18665,1280,35290,34754,3,30,457,-38,5
24,4307,1686,3647,22,729,48,438,92,374,2219,1878,8,382,27,2113,135,83,3883,29921,56543,7091,7542,24618,4,53,704,14,1
25,2927,2489,236,426,621,339,999,900,257,2188,174,41,205,23,2382,20,182,2380,20998,23068,6176,46559,33360,6,51,668,-29,2
26,3931,1871,9873,50,684,50,2367,752,363,2133,2936,29,352,135,2367,95,49,60,44863,33367,22985,7213,23517,10,5,556,-20,2
27,3852,1971,6094,328,837,37,1066,599,140,137,2292,60,568,75,891,169,199,4017,30546,10369,9448,94250,3623,0,93,498,43,4
28,264,2308,8073,151,4,244,1805,176,215,1735,1581,70,168,103,110,95,166,619,26038,68415,27488,21530,46508,5,47,847,18,9
29,3479,890,7383,345,431,218,514,169,207,1099,1418,43,398,6,394,157,107,3258,20380,42546,4669,42947,7072,10,86,826,-49,2
30,892,857,666,227,739,54,671,721,377,778,2649,8,186,88,1587,14,11,4701,50016,33641,27705,59917,20548,8,59,659,-33,8
31,2538,482,6523,414,219,151,1761,70,129,780,45,76,199,145,1603,81,97,4255,57598,47363,16966,86383,4679,6,22,418,-15,4
32,3553,836,1321,128,699,161,1083,830,60,988,2617,45,306,143,1124,125,113,617,58494,19841,20382,14374,44959,1,68,354,-29,7
33,3897,1049,7523,317,539,435,2113,159,320,864,712,88,223,22,1255,37,50,97,27365,60166,5690,73767,12276,5,20,718,34,10
34,1462,674,7453,68,835,196,734,777,288,2022,2423,96,566,142,2449,151,169,1989,20326,23875,25797,35516,14177,1,60,579,7,4
35,1767,943,283,411,279,127,2821,655,37,2824,1165,95,490,73,793,81,31,3366,23663,65401,8652,67914,28548,3,7,788,4,4
36,1870,2148,9550,140,476,183,1639,918,280,566,1676,64,0,13,724,144,33,2719,35134,60775,13922,42466,46614,0,28,505,-2,9
37,1803,1702,688,235,58,295,1931,238,75,1874,1762,56,266,183,2470,57,114,888,44384,54355,855,20085,45017,0,9,586,-35,10
